cylinders,displacement,horsepower,weight,acceleration,model year,origin,mpg,car name
8,307.0,130.0,3504.0,12.0,70,1,18.0,chevrolet chevelle malibu
8,350.0,165.0,3693.0,11.5,70,1,15.0,buick skylark 320
8,318.0,150.0,3436.0,11.0,70,1,18.0,plymouth satellite
8,304.0,150.0,3433.0,12.0,70,1,16.0,amc rebel sst
8,302.0,140.0,3449.0,10.5,70,1,17.0,ford torino
8,429.0,198.0,4341.0,10.0,70,1,15.0,ford galaxie 500
8,454.0,220.0,4354.0,9.0,70,1,14.0,chevrolet impala
8,440.0,215.0,4312.0,8.5,70,1,14.0,plymouth fury iii
8,455.0,225.0,4425.0,10.0,70,1,14.0,pontiac catalina
8,390.0,190.0,3850.0,8.5,70,1,15.0,amc ambassador dpl
8,383.0,170.0,3563.0,10.0,70,1,15.0,dodge challenger se
8,340.0,160.0,3609.0,8.0,70,1,14.0,plymouth 'cuda 340
8,400.0,150.0,3761.0,9.5,70,1,15.0,chevrolet monte carlo
8,455.0,225.0,3086.0,10.0,70,1,14.0,buick estate wagon (sw)
4,113.0,95.0,2372.0,15.0,70,3,24.0,toyota corona mark ii
6,198.0,95.0,2833.0,15.5,70,1,22.0,plymouth duster
6,199.0,97.0,2774.0,15.5,70,1,18.0,amc hornet
6,200.0,85.0,2587.0,16.0,70,1,21.0,ford maverick
4,97.0,88.0,2130.0,14.5,70,3,27.0,datsun pl510
4,97.0,46.0,1835.0,20.5,70,2,26.0,volkswagen 1131 deluxe sedan
4,110.0,87.0,2672.0,17.5,70,2,25.0,peugeot 504
4,107.0,90.0,2430.0,14.5,70,2,24.0,audi 100 ls
4,104.0,95.0,2375.0,17.5,70,2,25.0,saab 99e
4,121.0,113.0,2234.0,12.5,70,2,26.0,bmw 2002
6,199.0,90.0,2648.0,15.0,70,1,21.0,amc gremlin
8,360.0,215.0,4615.0,14.0,70,1,10.0,ford f250
8,307.0,200.0,4376.0,15.0,70,1,10.0,chevy c20
8,318.0,210.0,4382.0,13.5,70,1,11.0,dodge d200
8,304.0,193.0,4732.0,18.5,70,1,9.0,hi 1200d
4,97.0,88.0,2130.0,14.5,71,3,27.0,datsun pl510
4,140.0,90.0,2264.0,15.5,71,1,28.0,chevrolet vega 2300
4,113.0,95.0,2228.0,14.0,71,3,25.0,toyota corona
4,98.0,,2046.0,19.0,71,1,25.0,ford pinto
6,232.0,100.0,2634.0,13.0,71,1,19.0,amc gremlin
6,225.0,105.0,3439.0,15.5,71,1,16.0,plymouth satellite custom
6,250.0,100.0,3329.0,15.5,71,1,17.0,chevrolet chevelle malibu
6,250.0,88.0,3302.0,15.5,71,1,19.0,ford torino 500
6,232.0,100.0,3288.0,15.5,71,1,18.0,amc matador
8,350.0,165.0,4209.0,12.0,71,1,14.0,chevrolet impala
8,400.0,175.0,4464.0,11.5,71,1,14.0,pontiac catalina brougham
8,351.0,153.0,4154.0,13.5,71,1,14.0,ford galaxie 500
8,318.0,150.0,4096.0,13.0,71,1,14.0,plymouth fury iii
8,383.0,180.0,4955.0,11.5,71,1,12.0,dodge monaco (sw)
8,400.0,170.0,4746.0,12.0,71,1,13.0,ford country squire (sw)
8,400.0,175.0,5140.0,12.0,71,1,13.0,pontiac safari (sw)
